Period: Step1, Chains depth: 6, Method: MMPA
DOSEXT: Decay gamma effective dose rate (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: decay power [Sum Alpha Beta Gamma](Watt)
-------------------------------------------------------------------------------------
TIME	DOSEXT	DOSINH	FISSP	FISSR	HEATS	HEATA	HEATB	HEATG
0.0000e+00	1.2357e-06	6.7966e-01	4.6632e+03	1.5024e+14	5.9176e-08	5.6539e-08	5.3423e-10	2.1025e-09
3.6000e+03	5.9190e+04	6.6735e+06	4.6620e+03	1.5021e+14	2.3922e+02	1.7501e-01	1.2452e+02	1.1452e+02
Nulicdes at time = 3.600e+03 sec. ---------------------------------------------------
Name	Atoms	Activity(Bq)	Mass(g)	DoseInh(Sv)
Tc-109	2.9811e+10	2.4027e+10	5.3918e-12	3.1235e+01
Tc-110	1.1894e+08	8.9612e+07	2.1711e-14	0.0000e+00
Ru-99	3.1494e+03	0.0000e+00	5.1725e-19	0.0000e+00
Ru-100	2.2171e+09	0.0000e+00	3.6781e-13	0.0000e+00
Ru-101	1.1278e+16	0.0000e+00	1.8897e-06	0.0000e+00
Ru-102	1.7042e+16	0.0000e+00	2.8837e-06	0.0000e+00
Ru-103	1.5754e+16	3.2203e+09	2.6920e-06	9.6608e+00
Ru-104	5.4313e+15	0.0000e+00	9.3711e-07	0.0000e+00
Ru-105	3.3249e+15	1.4419e+11	5.7921e-07	2.5953e+01
Ru-106	2.0956e+15	4.5219e+07	3.6855e-07	2.9844e+00
Ru-107	7.3014e+13	2.2493e+11	1.2962e-08	2.6992e+00
Ru-108	3.4467e+13	8.7512e+10	6.1761e-09	1.7502e+00
Ru-109	1.1950e+12	2.4008e+10	2.1611e-10	9.1231e-02
Ru-110	1.4991e+09	8.9577e+07	2.7361e-13	1.3436e-04
Ru-111	1.4058e+01	4.5963e+00	2.5892e-21	1.7466e-12
Rh-103	1.1525e+12	0.0000e+00	1.9694e-10	0.0000e+00
Rh-103m	4.3710e+12	8.9987e+08	7.4690e-10	2.4297e-03
Rh-104	9.6217e+05	1.5766e+04	1.6601e-16	1.7343e-08
Rh-104m	3.6109e+05	9.6118e+02	6.2303e-17	7.5933e-09
Rh-105	2.1962e+14	1.1959e+09	3.8258e-08	4.1856e-01
Rh-105m	2.3142e+12	4.0102e+10	4.0314e-10	1.0026e-02
Rh-106	7.4712e+09	1.7222e+08	1.3139e-12	2.2388e-04
Rh-106m	1.0780e+11	9.5065e+06	1.8958e-11	1.0457e-03
Rh-107	3.4599e+14	1.8419e+11	6.1421e-08	3.1313e+00
Rh-108	2.1210e+12	8.7511e+10	3.8006e-10	8.6636e-02
Rh-109	2.7709e+12	2.4008e+10	5.0112e-10	7.2025e-02
Rh-110m	3.6831e+09	8.9577e+07	6.7221e-13	2.0603e-05
Rh-111	7.2619e+01	4.5760e+00	1.3374e-20	4.2557e-12
Rh-113	1.3875e+01	3.4347e+00	2.6015e-21	1.5113e-12
Pd-103	1.2782e+00	6.0350e-07	2.1841e-22	2.7157e-16
Pd-104	1.4004e+07	0.0000e+00	2.4162e-15	0.0000e+00
Pd-105	1.2505e+12	0.0000e+00	2.1784e-10	0.0000e+00
Pd-106	2.1742e+11	0.0000e+00	3.8235e-11	0.0000e+00
Pd-107	3.8302e+14	1.2943e+00	6.7994e-08	7.6364e-10
Pd-107m	1.2758e+01	4.1518e-01	2.2648e-21	1.1210e-13
Pd-108	2.7779e+14	0.0000e+00	4.9774e-08	0.0000e+00
Pd-109	8.0484e+13	1.1310e+09	1.4555e-08	4.1848e-01
Pd-109m	1.6113e+06	3.9690e+03	2.9139e-16	2.1036e-08
Pd-110	3.1751e+11	0.0000e+00	5.7946e-11	0.0000e+00
Pd-111	1.2359e+04	6.1015e+00	2.2761e-18	5.7354e-10
Pd-111m	2.0775e+03	7.2728e-02	3.8261e-19	3.4910e-11
Pd-113	4.4365e+02	3.3066e+00	8.3180e-20	4.2986e-11
Pd-115	1.4050e+02	3.8956e+00	2.6811e-20	2.7659e-11
Pd-116	1.3193e+09	7.7498e+07	2.5394e-13	2.7124e-04
Ag-107	1.6009e+03	0.0000e+00	2.8419e-19	0.0000e+00
Ag-109	1.8955e+12	0.0000e+00	3.4279e-10	0.0000e+00
Ag-109m	6.3535e+10	1.1121e+09	1.1490e-11	5.6717e-05
Ag-111	7.5117e+03	8.0890e-03	1.3834e-18	1.3751e-11
Ag-111m	5.4453e+02	5.8246e+00	1.0028e-19	1.3397e-12
Ag-113	3.4214e+03	1.2267e-01	6.4146e-19	3.0668e-11
Ag-113m	3.0484e+02	3.0757e+00	5.7153e-20	3.0757e-12
Ag-115	3.8865e+03	2.2449e+00	7.4159e-19	6.5104e-11
Ag-116	2.6498e+10	7.7498e+07	5.1002e-12	6.9748e-04
Cd-113	1.9991e+03	5.4614e-21	3.7480e-19	6.5537e-28
Cd-113m	2.4232e+00	3.7748e-09	4.5431e-22	4.1523e-16
Cd-114	4.5997e+00	0.0000e+00	8.7000e-22	0.0000e+00
Cd-115	2.8705e+03	1.0338e-02	5.4770e-19	1.1372e-11
Cd-115m	1.7599e+02	3.1686e-05	3.3580e-20	2.4398e-13
Cd-116	2.5121e+11	1.7799e-16	4.8349e-11	2.6699e-23
Cd-117	2.8065e+03	2.1701e-01	5.4482e-19	3.6893e-11
Cd-117m	1.4448e+03	8.2790e-02	2.8047e-19	1.7386e-11
Cd-120	3.4879e+02	4.7591e+00	6.9449e-20	9.9941e-11
In-115m	9.6989e+00	4.1628e-04	1.8506e-21	2.4561e-14
In-117	9.7752e+01	2.6141e-02	1.8976e-20	7.5808e-13
In-117m	2.0610e+02	2.0490e-02	4.0008e-20	1.4753e-12
