Period: P_1, Chains depth: 8, Method: BDF
DOSEXT: Gamma effective dose rate Hp (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: Decay power [Sum Alpha Beta Gamma](Watt)
----------------------------------------------------------------------------------------------------
      STEP      TIME    DOSEXT    DOSINH     FISSP     FISSR     HEATS     HEATA     HEATB     HEATG
 0.000e+00 0.000e+00 2.039e-05 6.797e+00 4.664e+04 1.503e+15 5.918e-07 5.654e-07 5.342e-09 2.103e-08
 3.600e+03 3.600e+03 8.348e+05 6.675e+07 4.663e+04 1.502e+15 2.420e+03 1.750e+00 1.256e+03 1.162e+03

Nulicdes at time = 3.600e+03 sec. ------------------------------------------------------------------
  ZZAAAm     Name        Atoms Activity(Bq)      Mass(g)  DoseInh(Sv)
  431010   Tc-101    7.545e+16    6.138e+13    1.264e-05    7.366e+02
  431020   Tc-102    4.805e+14    6.308e+13    8.131e-08    1.198e+05
  431021  Tc-102m    3.274e+07    8.696e+04    5.541e-15    1.304e-02
  431030   Tc-103    3.598e+15    4.601e+13    6.148e-07    5.522e+05
  431040   Tc-104    3.649e+16    2.304e+13    6.296e-06    6.680e+02
  431050   Tc-105    8.033e+15    1.221e+13    1.399e-06    2.320e+06
  431060   Tc-106    3.043e+14    5.925e+12    5.352e-08    1.600e+05
  431070   Tc-107    6.881e+13    2.250e+12    1.222e-08    3.825e+04
  431080   Tc-108    6.530e+12    8.754e+11    1.170e-09    5.165e+03
  431090   Tc-109    2.982e+11    2.403e+11    5.393e-11    3.124e+02
  431100   Tc-110    1.269e+09    9.557e+08    2.315e-13    0.000e+00
  440980    Ru-98    2.346e+02    0.000e+00    3.815e-20    0.000e+00
  440990    Ru-99    1.950e+09    0.000e+00    3.203e-13    0.000e+00
  441000   Ru-100    2.223e+10    0.000e+00    3.688e-12    0.000e+00
  441010   Ru-101    1.128e+17    0.000e+00    1.890e-05    0.000e+00
  441020   Ru-102    1.704e+17    0.000e+00    2.884e-05    0.000e+00
  441030   Ru-103    1.576e+17    3.221e+10    2.693e-05    9.663e+01
  441040   Ru-104    5.432e+16    0.000e+00    9.372e-06    0.000e+00
  441050   Ru-105    3.326e+16    1.442e+12    5.793e-06    2.596e+02
  441060   Ru-106    2.096e+16    4.523e+08    3.686e-06    2.985e+01
  441070   Ru-107    7.303e+14    2.250e+12    1.297e-07    2.700e+01
  441080   Ru-108    3.448e+14    8.756e+11    6.179e-08    1.751e+01
  441090   Ru-109    1.195e+13    2.401e+11    2.162e-09    9.126e-01
  441100   Ru-110    1.599e+10    9.554e+08    2.918e-12    1.433e-03
  441110   Ru-111    1.381e+02    4.517e+01    2.544e-20    1.716e-11
  451020   Rh-102    8.459e+05    3.274e-02    1.431e-16    5.565e-10
  451021  Rh-102m    4.829e+05    2.835e-03    8.172e-17    2.013e-11
  451030   Rh-103    1.153e+13    0.000e+00    1.970e-09    0.000e+00
  451031  Rh-103m    4.372e+13    9.001e+09    7.471e-09    2.430e-02
  451040   Rh-104    2.448e+07    4.012e+05    4.225e-15    4.413e-07
  451041  Rh-104m    6.481e+07    1.725e+05    1.118e-14    1.363e-06
  451050   Rh-105    2.197e+15    1.196e+10    3.827e-07    4.186e+00
  451051  Rh-105m    2.315e+13    4.011e+11    4.032e-09    1.003e-01
  451060   Rh-106    7.473e+10    1.722e+09    1.314e-11    2.239e-03
  451061  Rh-106m    1.078e+12    9.508e+07    1.896e-10    1.046e-02
  451070   Rh-107    3.461e+15    1.842e+12    6.144e-07    3.132e+01
  451080   Rh-108    2.122e+13    8.756e+11    3.803e-09    8.668e-01
  451081  Rh-108m    7.311e+05    1.408e+03    1.310e-16    4.505e-08
  451090   Rh-109    2.772e+13    2.401e+11    5.013e-09    7.204e-01
