Period: P_2, Chains depth: 8, Method: DIAG
DOSEXT: Gamma effective dose rate Hp (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: Decay power [Sum Alpha Beta Gamma](Watt)
----------------------------------------------------------------------------------------------------
      STEP      TIME    DOSEXT    DOSINH     FISSP     FISSR     HEATS     HEATA     HEATB     HEATG
 0.000e+00 3.600e+03 8.348e+05 6.675e+07 0.000e+00 0.000e+00 2.420e+03 1.750e+00 1.256e+03 1.162e+03
 1.000e+03 4.600e+03 1.589e+05 7.798e+06 0.000e+00 0.000e+00 3.264e+02 6.749e-07 1.413e+02 1.851e+02
 1.000e+04 1.460e+04 1.978e+04 1.574e+06 0.000e+00 0.000e+00 3.783e+01 5.662e-07 1.568e+01 2.215e+01
 1.000e+05 1.146e+05 1.133e+03 3.327e+05 0.000e+00 0.000e+00 2.132e+00 5.663e-07 9.217e-01 1.211e+00

Nulicdes at time = 1.146e+05 sec. ------------------------------------------------------------------
  ZZAAAm     Name        Atoms Activity(Bq)      Mass(g)  DoseInh(Sv)
  591441  Pr-144m    5.010e+10    8.039e+07    1.197e-11    6.190e-04
  591450   Pr-145    5.754e+15    1.851e+11    1.385e-06    3.147e+01
  601420   Nd-142    2.225e+08    0.000e+00    5.243e-14    0.000e+00
  601430   Nd-143    5.495e+15    0.000e+00    1.304e-06    0.000e+00
  601440   Nd-144    9.380e+14    8.997e-09    2.242e-07    8.547e-16
  601450   Nd-145    2.089e+17    0.000e+00    5.027e-05    0.000e+00
  601460   Nd-146    1.631e+17    0.000e+00    3.953e-05    0.000e+00
  601470   Nd-147    1.130e+17    8.255e+10    2.756e-05    1.981e+02
  601480   Nd-148    9.133e+16    0.000e+00    2.243e-05    0.000e+00
  601490   Nd-149    2.101e+11    2.341e+07    5.196e-11    2.084e-03
  601500   Nd-150    3.568e+16    9.920e-11    8.882e-06    8.333e-19
  611450   Pm-145    1.011e+02    1.255e-07    2.433e-20    4.517e-16
  611460   Pm-146    1.494e+07    5.933e-02    3.619e-15    1.246e-09
  611470   Pm-147    9.592e+15    8.031e+07    2.340e-06    4.015e-01
  611480   Pm-148    1.792e+09    2.678e+03    4.401e-13    5.891e-06
  611481  Pm-148m    1.283e+09    2.493e+02    3.151e-13    1.421e-06
  611490   Pm-149    4.029e+16    1.461e+11    9.962e-06    1.067e+02
  611500   Pm-150    5.224e+08    3.753e+04    1.300e-13    4.879e-06
  611510   Pm-151    1.069e+16    7.246e+10    2.678e-06    3.333e+01
  621460   Sm-146    2.352e+03    5.015e-13    5.698e-19    5.516e-18
  621470   Sm-147    4.542e+12    9.412e-07    1.108e-09    9.036e-12
  621480   Sm-148    3.591e+08    1.127e-15    8.821e-14    9.578e-21
  621490   Sm-149    1.835e+16    0.000e+00    4.538e-06    0.000e+00
  621500   Sm-150    1.753e+12    0.000e+00    4.365e-10    0.000e+00
  621510   Sm-151    1.210e+16    2.953e+06    3.033e-06    1.181e-02
  621520   Sm-152    1.443e+16    0.000e+00    3.640e-06    0.000e+00
  621530   Sm-153    5.071e+15    2.100e+10    1.288e-06    1.323e+01
  621540   Sm-154    3.170e+15    0.000e+00    8.102e-07    0.000e+00
  621560   Sm-156    1.752e+01    3.590e-04    4.538e-21    7.897e-14
